Id,OrderAt,StoreId,UserId
fc053e3a-7b4e-44bd-915c-647691f84994,2023-07-23,10:28:59,e2cadbaa-9f2a-4c4e-b98d-9b11cc487d38,82dcdb90-dd32-44b2-b175-3f3bd0c99fd8
ebf9c0b8-4267-4eee-9687-8b5317c87ffb,2004-10-21,2:18:56,9869cc3f-1049-4318-bdd5-63893a492e94,83fd9900-9597-441c-8f4c-39ae6dca6063
7b0465cc-3d27-4aed-ae2e-5d325e978b9c,2003-05-24,6:06:40,53962fd9-2970-4077-b54c-390a706e5f31,c7e612bb-770f-4d33-bac9-4616b21da874
20757b87-7ca3-4996-a010-21f088ba44be,2017-12-07,0:09:07,53962fd9-2970-4077-b54c-390a706e5f31,c7e612bb-770f-4d33-bac9-4616b21da874
85d26ebb-9d38-4433-8253-04afe157f793,2018-04-07,10:27:15,58d3bc28-492c-4518-ae5c-cda59e659b2c,6862fd99-275c-402f-8508-55699bf74669
676f1176-0731-4268-a0e6-31451bbea6a3,2003-06-12,16:60:19,17ab0aa5-288c-4043-86c5-4fe07e4080f3,9679b94c-61eb-4e61-b932-a6e8cc53904b
bd673bb7-dd47-4a71-80a1-6fe063c50d5a,2008-06-28,23:16:51,be1f36ee-8fbb-4558-8077-cef61747c04f,dea3a290-f767-43dc-ad8a-1ec0a938b6c6
45c0fcf8-85a5-4f8d-8f90-db3287387872,2014-06-21,1:06:08,1e8ba57f-705c-48ee-84ab-1227cb9fcb03,9679b94c-61eb-4e61-b932-a6e8cc53904b
6b33a73f-b671-4f23-88dd-50d71b818523,2017-11-10,1:39:49,e7a244f9-0597-4cb3-aea6-ada44aff2924,dea3a290-f767-43dc-ad8a-1ec0a938b6c6
c53ab010-bfce-4b6f-af68-0a85f3cc54af,2023-02-12,18:46:07,f0d897fc-fac8-4415-9772-67de9537f815,cafe6bd5-7e67-48ae-a02f-e83e01a89e27
